"","x"
"226","Centris hoffmanseggiae"
"227","Centris rhodopus"
"228","Anthophora curta"
"229","Osmia coloradensis"
"230","Osmia texana"
"231","Osmia marginata"
"232","Megachile sidalceae"
"233","Megachile frugalis"
"234","Anthidium maculosum"
"235","Stelis perpulchra"
"236","Dianthidium parvum"
"237","Apis mellifera"
"238","Lasioglossum tegulariforme"
"239","Andrena amphibola"
"240","Hoplitis howardi"
"241","Megachile montivaga"
"242","Megachile angelarum"
"243","Anthidiellum robertsoni"
"244","Anthidium placitum"
"245","Protosmia rubifloris"
"246","Ashmeadiella bucconis"
"247","Megachile concinna"
"248","Lithurgopsis apicalis"
"249","Andrena linsleyi"
"250","Hoplitis biscutellae"
"251","Chelostoma californicum"
"252","Anthidium collectum"
"253","Megachile coquilletti"
"254","Dianthidium dubium"
"255","Megandrena enceliae"
"256","Megachile fidelis"
"257","Anthidium formosum"
"258","Megachile gentilis"
"259","Anthidium illustre"
"260","Hoplitis jacintana"
"261","Megachile lippiae"
"262","Hoplitis producta"
"263","Dioxys productus"
"264","Megachile spinotulata"
"265","Anthidium utahense"
"266","Hoplitis uvulalis"
"267","Calliopsis edwardsii"
"268","Trachusa larreae"
"269","Andrena prunorum"
"270","Dianthidium ulkei"
"271","Stelis laticincta"
"272","Anthidium mormonum"
"273","Heriades occidentalis"
"274","Dianthidium pudicum"
"275","Ashmeadiella cactorum"
"276","Perdita minima"
"277","Andrena isocomae"
"278","Megachile parallela"
"279","Ashmeadiella sonora"
"280","Anthidium paroselae"
"281","Ashmeadiella rhodognatha"
"282","Heriades cressoni"
"283","Megachile discorhina"
"284","Anthidium palmarum"
"285","Megachile perihirta"
"286","Anthidium dammersi"
"287","Megachile brevis"
"288","Hoplitis sambuci"
"289","Anthidium banningense"
"290","Anthidium cockerelli"
"291","Hoplitis albifrons"
"292","Megachile browni"
"293","Anthidium clypeodentatum"
"294","Anthidium edwardsii"
"295","Anthidiellum ehrhorni"
"296","Hoplitis hypocrita"
"297","Calliopsis obscurella"
"298","Megachile odontostoma"
"299","Calliopsis puellae"
