"","x"
"985","Melissodes druriellus"
"986","Nomada hirtiventris"
"987","Anthophorula parva"
"988","Dioxys aurifuscus"
"989","Andrena mackieae"
"990","Biastes cressoni"
"991","Perdita omani"
"992","Dianthidium implicatum"
"993","Andrena olivacea"
"994","Trachusa zebrata"
"995","Centris cockerelli"
"996","Stelis micheneri"
"997","Perdita dasylirii"
"998","Triepeolus joliae"
"999","Andrena nigrihirta"
"1000","Diadasia vallicola"
"1001","Megachile policaris"
"1002","Halictus harmonius"
"1003","Nomada sayi"
"1004","Dianthidium heterulkei"
"1005","Eucera pomona"
"1006","Atoposmia hypostomalis"
"1007","Osmia odontogaster"
"1008","Melissodes comatus"
"1009","Andrena scurra"
"1010","Anthophora petrophila"
"1011","Andrena chalybaea"
"1012","Andrena cruciferarum"
"1013","Osmia marginipennis"
"1014","Andrena pallidiscopa"
"1015","Andrena aquila"
"1016","Andrena hypoleuca"
"1017","Andrena orthocarpi"
"1018","Andrena pensilis"
"1019","Andrena pallidifovea"
"1020","Andrena fuscicauda"
"1021","Andrena knuthiana"
"1022","Andrena medionitens"
"1023","Andrena subtrita"
"1024","Andrena trizonata"
"1025","Andrena vierecki"
"1026","Andrena cyanophila"
"1027","Colletes algarobiae"
"1028","Colletes productus"
"1029","Colletes simulans"
"1030","Perdita coldeniae"
"1031","Perdita maculosa"
"1032","Hylaeus basalis"
"1033","Perdita foleyi"
"1034","Perdita fulvicauda"
"1035","Perdita indioensis"
"1036","Perdita labrata"
"1037","Perdita lucens"
"1038","Perdita salviae"
"1039","Perdita subfasciata"
"1040","Hylaeus verticalis"
"1041","Hylaeus nevadensis"
"1042","Hylaeus conspicuus"
"1043","Hylaeus personatellus"
"1044","Hylaeus episcopalis"
"1045","Hylaeus transvittatus"
"1046","Agapostemon obliquus"
"1047","Andrena latifrons"
"1048","Dufourea neocalifornica"
"1049","Hesperapis fuchsi"
"1050","Hesperapis parva"
"1051","Ashmeadiella lateralis"
"1052","Ashmeadiella timberlakei"
"1053","Osmia cobaltina"
"1054","Atoposmia copelandica"
"1055","Ceratina tejonensis"
"1056","Triepeolus mojavensis"
"1057","Ceratina hurdi"
"1058","Ceratina neomexicana"
"1059","Epeolus compactus"
"1060","Epeolus minimus"
"1061","Triepeolus antiochensis"
"1062","Triepeolus californicus"
"1063","Triepeolus concavus"
"1064","Triepeolus distinctus"
"1065","Triepeolus helianthi"
"1066","Triepeolus utahensis"
"1067","Triepeolus melanarius"
"1068","Triepeolus paenepectoralis"
"1069","Triepeolus verbesinae"
"1070","Holcopasites ruthae"
"1071","Brachynomada melanantha"
"1072","Triepeolus timberlakei"
"1073","Triepeolus ancoratus"
"1074","Triepeolus remigatus"
"1075","Triepeolus townsendi"
"1076","Nomada citrina"
"1077","Nomada elegantula"
"1078","Nomada hemphilli"
"1079","Centris californica"
"1080","Centris lanosa"
"1081","Centris pallida"
"1082","Diadasia tuberculifrons"
"1083","Habropoda dammersi"
"1084","Anthophora furcata"
"1085","Anthophora terminalis"
"1086","Anthophora abroniae"
"1087","Anthophora cockerelli"
"1088","Anthophora estebana"
"1089","Anthophora timberlakei"
"1090","Anthophora exigua"
"1091","Anthophora albata"
"1092","Anthophora maculifrons"
"1093","Anthophora mortuaria"
"1094","Anthophora peritomae"
"1095","Anthophora rhodothorax"
"1096","Anthophora abrupta"
"1097","Anthophora occidentalis"
"1098","Anthophora forbesi"
"1099","Anthophora lesquerellae"
"1100","Anthophora vannigera"
"1101","Habropoda cineraria"
"1102","Habropoda laboriosa"
"1103","Melissodes micheneri"
"1104","Xenoglossa patricia"
"1105","Neolarra penicula"
"1106","Epeolus pusillus"
"1107","Triepeolus subalpinus"
"1108","Eucera albescens"
"1109","Eucera amsinckiae"
"1110","Eucera cordleyi"
"1111","Eucera hurdi"
"1112","Eucera zonata"
"1113","Melissodes metenua"
"1114","Svastra machaerantherae"
"1115","Megachile mellitarsis"
"1116","Megachile legalis"
"1117","Megachile palmensis"
"1118","Megachile pseudonigra"
"1119","Osmia bruneri"
"1120","Osmia dolerosa"
"1121","Hesperapis rodecki"
"1122","Anthophora vallorum"
"1123","Anthophora boharti"
"1124","Epeolus axillaris"
"1125","Stelis subemarginata"
"1126","Atoposmia timberlakei"
"1127","Melissodes compositus"
"1128","Melissodes saponellus"
"1129","Melissodes rivalis"
"1130","Melissodes thelypodii"
"1131","Anthophorula albovestita"
"1132","Anthophorula deserticola"
"1133","Anthophorula sidae"
"1134","Nomada avalonica"
"1135","Nomada fragilis"
"1136","Nomada pyrrha"
"1137","Hylaeus nunenmacheri"
"1138","Lasioglossum aspilurum"
"1139","Osmia thysanisca"
"1140","Megachile angularis"
"1141","Lasioglossum abundipunctum"
"1142","Megachile zapoteca"
"1143","Andrena gordoni"
"1144","Andrena sladeni"
"1145","Andrena cryptanthae"
"1146","Andrena ferrugineipes"
"1147","Andrena illustris"
"1148","Andrena lauta"
"1149","Andrena livida"
"1150","Andrena taeniata"
"1151","Andrena cupreotincta"
"1152","Andrena forbesii"
"1153","Andrena hippotes"
"1154","Andrena rehni"
"1155","Andrena waldmerei"
"1156","Anthophora porterae"
"1157","Anthophorula cerei"
"1158","Anthophorula varleyi"
"1159","Ashmeadiella barberi"
"1160","Ashmeadiella leachi"
"1161","Ashmeadiella micheneri"
"1162","Ashmeadiella stenognatha"
"1163","Ashmeadiella meliloti"
"1164","Ashmeadiella parkinsoniae"
"1165","Ashmeadiella pronitens"
"1166","Ashmeadiella vandykiella"
"1167","Ashmeadiella holtii"
"1168","Ashmeadiella hurdiana"
"1169","Ashmeadiella rubrella"
"1170","Atoposmia anthodyta"
"1171","Agapostemon tyleri"
"1172","Agapostemon virescens"
"1173","Andrena quercina"
"1174","Andrena birtwelli"
"1175","Andrena coconina"
"1176","Andrena mesoleuca"
"1177","Andrena monogonoparia"
"1178","Andrena topazana"
"1179","Andrena washingtoni"
"1180","Andrena sphaeralceae"
"1181","Andrena bendensis"
"1182","Andrena chromotricha"
"1183","Andrena citrinihirta"
"1184","Andrena colletina"
"1185","Andrena columbiana"
"1186","Andrena scutellinitens"
"1187","Andrena surda"
"1188","Andrena anisochlora"
"1189","Andrena caliginosa"
"1190","Andrena porterae"
"1191","Andrena submaura"
"1192","Andrena cristata"
"1193","Andrena murietae"
"1194","Andrena timberlakei"
"1195","Andrena apasta"
"1196","Andrena blennospermatis"
"1197","Andrena cyanosoma"
"1198","Andrena evoluta"
"1199","Andrena foxii"
"1200","Andrena lewisorum"
"1201","Andrena macswaini"
"1202","Andrena nothocalaidis"
"1203","Andrena parachalybea"
"1204","Andrena puthua"
"1205","Andrena sperryi"
"1206","Andrena subchalybea"
"1207","Andrena algida"
"1208","Andrena astragali"
"1209","Andrena auricoma"
"1210","Andrena dissimulans"
"1211","Andrena suavis"
"1212","Andrena subdepressa"
"1213","Andrena trevoris"
"1214","Andrena lativentris"
"1215","Andrena subrubicunda"
"1216","Andrena hilaris"
"1217","Andrena lupinorum"
"1218","Andrena illinoiensis"
"1219","Andrena crudeni"
"1220","Andrena subnigripes"
"1221","Andrena torulosa"
"1222","Andrena deserticola"
"1223","Andrena flandersi"
"1224","Andrena longifovea"
"1225","Andrena prima"
"1226","Atoposmia hebitis"
"1227","Atoposmia pycnognatha"
"1228","Atoposmia triodonta"
"1229","Atoposmia daleae"
"1230","Atoposmia namatophila"
"1231","Atoposmia segregata"
"1232","Atoposmia phaceliarum"
"1233","Bombus ashtoni"
"1234","Bombus impatiens"
"1235","Calliopsis smithi"
"1236","Calliopsis xenus"
"1237","Calliopsis pectidis"
"1238","Calliopsis barbata"
"1239","Calliopsis cazieri"
"1240","Calliopsis mellipes"
"1241","Calliopsis filiorum"
"1242","Calliopsis anomoptera"
"1243","Ceratina dallatorreana"
"1244","Ceratina apacheorum"
"1245","Ceratina timberlakei"
"1246","Chelostoma tetramerum"
"1247","Chelostoma cockerelli"
"1248","Chelostoma incisulum"
"1249","Chelostoma marginatum"
"1250","Coelioxys porterae"
"1251","Coelioxys sayi"
"1252","Colletes annae"
"1253","Colletes laticinctus"
"1254","Colletes compactus"
"1255","Colletes linsleyi"
"1256","Colletes nigrifrons"
"1257","Micralictoides mojavensis"
"1258","Neolarra orbiculata"
"1259","Neolarra alba"
"1260","Nomada parva"
"1261","Osmia pagosa"
"1262","Perdita optiva"
"1263","Perdita rhodogastra"
"1264","Perdita sexfasciata"
"1265","Colletes nitescens"
"1266","Colletes wickhami"
"1267","Colletes daleae"
"1268","Colletes petalostemonis"
"1269","Colletes prosopidis"
"1270","Colletes solitarius"
"1271","Colletes phaceliae"
"1272","Colletes cercidii"
"1273","Colletes perileucus"
"1274","Colletes birkmanni"
"1275","Colletes wootoni"
"1276","Conanthalictus deserticola"
"1277","Diadasia palmarum"
"1278","Dianthidium desertorum"
"1279","Dianthidium platyurum"
"1280","Dianthidium subparvum"
"1281","Dioxys pacificus"
"1282","Triepeolus diversipes"
"1283","Triepeolus norae"
"1284","Triepeolus grandis"
"1285","Triepeolus occidentalis"
"1286","Triepeolus texanus"
"1287","Triepeolus grindeliae"
"1288","Triepeolus loomisorum"
"1289","Triepeolus sarothrinus"
"1290","Triepeolus segregatus"
"1291","Dufourea campanulae"
"1292","Dufourea desertorum"
"1293","Dufourea dilatipes"
"1294","Dufourea fallugiae"
"1295","Dufourea longiceps"
"1296","Dufourea macswaini"
"1297","Dufourea marginata"
"1298","Dufourea moldenkei"
"1299","Dufourea neovernalis"
"1300","Dufourea oenotherae"
"1301","Dufourea pulchricornis"
"1302","Dufourea snellingi"
"1303","Dufourea sparsipunctata"
"1304","Dufourea timberlakei"
"1305","Dufourea torchioi"
"1306","Protohalonia amoena"
"1307","Eucera angustifrons"
"1308","Eucera delphinii"
"1309","Eucera dorsata"
"1310","Eucera mohavensis"
"1311","Eucera quadricincta"
"1312","Eucera territella"
"1313","Exomalopsis solani"
"1314","Exomalopsis solidaginis"
"1315","Habropoda excellens"
"1316","Halictus virgatellus"
"1317","Heriades timberlakei"
"1318","Hesperapis arenicola"
"1319","Holcopasites arizonicus"
"1320","Holcopasites insoletus"
"1321","Hoplitis emarginata"
"1322","Hoplitis paiute"
"1323","Hoplitis plagiostoma"
"1324","Hoplitis elongaticeps"
"1325","Hoplitis grinnelli"
"1326","Hoplitis robusta"
"1327","Hoplitis torchioi"
"1328","Hoplitis viridimicans"
"1329","Hoplitis incanescens"
"1330","Hoplitis nigrella"
"1331","Hoplitis shoshone"
"1332","Hoplitis similis"
"1333","Hylaeus annulatus"
"1334","Hylaeus granulatus"
"1335","Hylaeus sejunctus"
"1336","Hylaeus cookii"
"1337","Hylaeus sonorensis"
"1338","Lasioglossum veganum"
"1339","Lasioglossum hudsoniellum"
"1340","Lasioglossum perparvum"
"1341","Lasioglossum ruidosense"
"1342","Lasioglossum lusorium"
"1343","Lasioglossum sequoiae"
"1344","Lasioglossum giffardi"
"1345","Lasioglossum glabriventre"
"1346","Lasioglossum inconditum"
"1347","Macrotera carinata"
"1348","Macrotera mellea"
"1349","Macrotera mortuaria"
"1350","Macrotera latior"
"1351","Stelis cockerelli"
"1352","Megachile rossi"
"1353","Megachile sabinensis"
"1354","Megachile townsendiana"
"1355","Megachile texensis"
"1356","Megachile chilopsidis"
"1357","Megachile lobatifrons"
"1358","Megachile occidentalis"
"1359","Megachile prosopidis"
"1360","Megachile mendica"
"1361","Megachile bradleyi"
"1362","Megachile impartita"
"1363","Megachile astragali"
"1364","Megachile bruneri"
"1365","Megachile casadae"
"1366","Megachile hilata"
"1367","Megachile instita"
"1368","Megachile manifesta"
"1369","Megachile mojavensis"
"1370","Megachile yumensis"
"1371","Megachile xylocopoides"
"1372","Megachile azteca"
"1373","Megachile agustini"
"1374","Megachile cochisiana"
"1375","Megachile gemula"
"1376","Melecta thoracica"
"1377","Melissodes gelidus"
"1378","Melissodes submenuacha"
"1379","Melissodes desponsus"
"1380","Melissodes bimaculatus"
"1381","Melissodes opuntiellus"
"1382","Neolarra hurdi"
"1383","Neolarra pruinosa"
"1384","Nomada frieseana"
"1385","Nomada rhodalis"
"1386","Nomada opacella"
"1387","Nomada perbella"
"1388","Nomada rhodomelas"
"1389","Nomada hesperia"
"1390","Nomada texana"
"1391","Nomada coquilletti"
"1392","Nomada ashmeadi"
"1393","Nomada illinoensis"
"1394","Nomada davidsoni"
"1395","Nomada latifrons"
"1396","Nomada obliquella"
"1397","Nomada cressonii"
"1398","Nomada depressa"
"1399","Nomada interruptella"
"1400","Nomada morrisoni"
"1401","Nomada obscurella"
"1402","Nomada lewisi"
"1403","Nomada vicinalis"
"1404","Nomada timberlakei"
"1405","Nomada mutans"
"1406","Nomada verecunda"
"1407","Oreopasites hurdi"
"1408","Osmia bella"
"1409","Osmia ednae"
"1410","Osmia unca"
"1411","Osmia mixta"
"1412","Osmia bucephala"
"1413","Osmia cahuilla"
"1414","Osmia enixa"
"1415","Osmia exigua"
"1416","Osmia grindeliae"
"1417","Osmia hemera"
"1418","Osmia inermis"
"1419","Osmia inurbana"
"1420","Osmia juxta"
"1421","Osmia lacus"
"1422","Osmia lupinicola"
"1423","Osmia paradisica"
"1424","Osmia prunorum"
"1425","Osmia pulsatillae"
"1426","Osmia raritatis"
"1427","Osmia rawlinsi"
"1428","Osmia sculleni"
"1429","Osmia tanneri"
"1430","Osmia tersula"
"1431","Osmia vandykei"
"1432","Osmia zephyros"
"1433","Panurginus atramontensis"
"1434","Perdita luculenta"
"1435","Perdita verbesinae"
"1436","Perdita binotata"
"1437","Perdita namatophila"
"1438","Perdita pyrifera"
"1439","Perdita bellula"
"1440","Perdita amoena"
"1441","Perdita mandibularis"
"1442","Perdita beatula"
"1443","Perdita butleri"
"1444","Perdita chloris"
"1445","Perdita elegans"
"1446","Perdita paroselae"
"1447","Perdita pectidis"
"1448","Perdita retusa"
"1449","Xeroheriades micheneri"
"1450","Perdita compta"
"1451","Perdita cuspidata"
"1452","Perdita eremica"
"1453","Perdita eremophila"
"1454","Perdita imberbis"
"1455","Perdita morula"
"1456","Perdita ovaliceps"
"1457","Perdita pallidipes"
"1458","Perdita panocheana"
"1459","Perdita propinqua"
"1460","Perdita prosopidis"
"1461","Perdita semicaerulea"
"1462","Perdita stathamae"
"1463","Perdita acaciae"
"1464","Perdita distans"
"1465","Perdita gentilis"
"1466","Perdita nigridia"
"1467","Perdita snellingi"
"1468","Perdita dicksoni"
"1469","Perdita pallidiventris"
"1470","Perdita polita"
"1471","Perdita larreae"
"1472","Perdita bispinata"
"1473","Perdita calochorti"
"1474","Perdita fallugiae"
"1475","Perdita macrostoma"
"1476","Perdita meconis"
"1477","Perdita tularensis"
"1478","Perdita mucronata"
"1479","Perdita quadrisignata"
"1480","Perdita vandykei"
"1481","Perdita pallida"
"1482","Protandrena heteromorpha"
"1483","Protodufourea parca"
"1484","Protodufourea wasbaueri"
"1485","Protandrena fratercula"
"1486","Protandrena pectiphilus"
"1487","Sphecodes patruelis"
"1488","Stelis anthidioides"
"1489","Stelis acutiventris"
"1490","Stelis nigriventris"
"1491","Stelis callura"
"1492","Stelis palmarum"
"1493","Stelis pavonina"
"1494","Stelis holocyanea"
"1495","Stelis robertsoni"
"1496","Stelis linsleyi"
"1497","Trachusa autumnalis"
"1498","Trachusa gummifera"
"1499","Andrena lateralis"
"1500","Agapanthinus callophilus"
"1501","Nomada argentea"
"1502","Nomada orbitalis"
"1503","Triepeolus perpictus"
"1504","Stelis subcaerulea"
"1505","Andrena angelesia"
"1506","Lasioglossum tuolumnense"
"1507","Megachile melanogaster"
"1508","Lasioglossum ruficorne"
"1509","Lasioglossum obscurior"
"1510","Lasioglossum miguelense"
"1511","Osmia nigricollis"
"1512","Lasioglossum arizonense"
"1513","Lasioglossum robustum"
"1514","Perdita frontalis"
"1515","Osmia melanocephala"
"1516","Osmia trifoliama"
"1517","Centris aethyctera"
"1518","Anthidium sonorense"
"1519","Dufourea stagei"
"1520","Perdita obtusa"
"1521","Perdita coalingensis"
"1522","Perdita pulliventris"
"1523","Oreopasites powelli"
"1524","Ceratina micheneri"
"1525","Perdita trifida"
"1526","Lasioglossum quadrinotatulum"
"1527","Nomada tintinnabulum"
"1528","Nomada erythrospila"
"1529","Nomada luteopicta"
"1530","Nomada sanctaecrucis"
"1531","Nomada melanosoma"
"1532","Osmia indeprensa"
"1533","Nomada angelarum"
"1534","Megachile dulciana"
"1535","Perdita flavifrons"
"1536","Bombus campestris"
"1537","Perdita punctifrons"
"1538","Perdita subglabra"
"1539","Megachile atrata"
"1540","Oreopasites euphorbiae"
"1541","Calliopsis snellingi"
"1542","Calliopsis timberlakei"
"1543","Andrena cheyennorum"
"1544","Andrena inclinata"
"1545","Osmia sandhouseae"
"1546","Andrena fracta"
"1547","Andrena helianthi"
"1548","Andrena laminibucca"
"1549","Andrena declinis"
"1550","Centris rhodomelas"
"1551","Sphecodes lautipennis"
"1552","Dianthidium curvatum"
"1553","Protandrena porterae"
"1554","Lasioglossum creberrimum"
"1555","Hoplitis bisulca"
"1556","Colletes rufocinctus"
"1557","Nomada debilis"
"1558","Andrena primulifrons"
"1559","Andrena tildeni"
"1560","Andrena labergei"
"1561","Andrena burkelli"
"1562","Andrena spiraeana"
"1563","Megachile latimanus"
"1564","Bombus citrinus"
"1565","Melissodes tribas"
"1566","Colletes rudis"
"1567","Andrena apacheorum"
"1568","Andrena costillensis"
"1569","Diadasia opuntiae"
"1570","Andrena milwaukeensis"
"1571","Andrena perplexa"
"1572","Megachile comata"
"1573","Andrena hallii"
"1574","Andrena mariae"
"1575","Andrena wellesleyana"
"1576","Perdita zebrata"
"1577","Megachile pusilla"
"1578","Colletes eulophi"
"1579","Trachusa occidentalis"
"1580","Coelioxys menthae"
"1581","Triepeolus callopus"
"1582","Anthidiellum notatum"
"1583","Triepeolus simplex"
"1584","Megachile soledadensis"
"1585","Calliopsis syphar"
"1586","Megachile pseudolegalis"
"1587","Triepeolus permixtus"
"1588","Bombus rotundiceps"
"1589","Bombus lapponicus"
"1590","Osmia georgica"
"1591","Andrena ablegata"
"1592","Hylaeus pictipes"
"1593","Triopasites penniger"
"1594","Plebeia emerina"
"1595","Anthophorula crenulata"
"1596","Epeolus olympiellus"
"1597","Epeolus nebulosus"
"1598","Ashmeadiella neomexicana"
"1599","Eucera atriventris"
"1600","Nomada lehighensis"
"1601","Lasioglossum avalonense"
"1602","Hesperapis elegantula"
"1603","Lasioglossum arcanum"
"1604","Lasioglossum hammondi"
"1605","Lasioglossum occidentale"
"1606","Lasioglossum pilosum"
"1607","Lasioglossum zonulum"
"1608","Megachile armaticeps"
"1609","Perdita albomaculata"
"1610","Anthidium pallidiclypeum"
"1611","Hesperapis oliviae"
"1612","Perdita yanegai"
"1613","Calliopsis persimilis"
"1614","Andrena accepta"
"1615","Osmia cordata"
"1616","Lasioglossum cordleyi"
"1617","Megachile robertiana"
"1618","Perdita desdemona"
"1619","Augochlora pura"
"1620","Svastra duplocincta"
"1621","Atoposmia abjecta"
"1622","Andrena nanula"
"1623","Perdita rhondae"
"1624","Megachile abluta"
"1625","Melissodes cerussatus"
"1626","Bombus franklini"
"1627","Perdita marcialis"
"1628","Perdita lycii"
"1629","Serapista serrata"
"1630","Anthophora rara"
"1631","Lasioglossum cabrilli"
"1632","Colletes abeillei"
"1633","Megachile exilis"
"1634","Colletes obscurus"
"1635","Ashmeadiella lutzi"
"1636","Perdita quadraticeps"
"1637","Perdita blaisdelli"
"1638","Perdita bebbiae"
"1639","Nomia foxii"
"1640","Andrena siccata"
"1641","Anthidium rodecki"
"1642","Dufourea convergens"
"1643","Calliopsis solitaria"
"1644","Andrena grindeliae"
"1645","Andrena penutiani"
"1646","Diadasia tropicalis"
"1647","Colletes scopiventer"
"1648","Perdita sexnotata"
"1649","Perdita vesca"
"1650","Xylocopa virginica"
"1651","Bombus terricola"
"1652","Plebeia frontalis"
"1653","Bombus fraternus"
"1654","Triepeolus rhododontus"
"1655","Anthophorula scapalis"
"1656","Exomalopsis dimidiata"
"1657","Melissodes subillatus"
"1658","Melissodes elegans"
"1659","Melissodes limbus"
"1660","Nomada vexator"
"1661","Paranomada californica"
"1662","Rhopalolemma robertsi"
"1663","Melissodes rufipes"
"1664","Anthophorula morula"
"1665","Martinapis luteicornis"
"1666","Nomada opposita"
"1667","Svastra sila"
"1668","Lasioglossum morrilli"
"1669","Lasioglossum bardum"
"1670","Lasioglossum admirandum"
"1671","Lasioglossum dasiphorae"
"1672","Lasioglossum pseudopectorale"
"1673","Dufourea truncata"
"1674","Perdita bicuspidariae"
"1675","Perdita confusa"
"1676","Andrena canadensis"
"1677","Andrena berberidis"
"1678","Andrena tridens"
"1679","Andrena lawrencei"
"1680","Panurginus gabrielis"
"1681","Andrena nigrae"
"1682","Andrena rubrotincta"
"1683","Andrena calvata"
"1684","Andrena platyparia"
"1685","Andrena fragilis"
"1686","Perdita luteiceps"
"1687","Andrena mentzeliae"
"1688","Perdita argemones"
"1689","Andrena mandibularis"
"1690","Andrena gardineri"
"1691","Andrena placata"
"1692","Perdita halictoides"
"1693","Andrena pectilis"
"1694","Andrena latinensis"
"1695","Andrena fenningeri"
"1696","Andrena persimulata"
"1697","Calliopsis rozeni"
"1698","Perdita octomaculata"
"1699","Colletes nudus"
"1700","Megachile addenda"
"1701","Megachile petulans"
"1702","Megachile campanulae"
"1703","Megachile integra"
"1704","Panurginus maritimus"
"1705","Perdita algodones"
"1706","Perdita ambigua"
"1707","Perdita baccharidis"
"1708","Perdita brevihirta"
"1709","Perdita calloleuca"
"1710","Perdita craterognatha"
"1711","Perdita distincta"
"1712","Perdita emarginata"
"1713","Perdita erythropyga"
"1714","Perdita hurdi"
"1715","Perdita impunctifrons"
"1716","Perdita linsleyi"
"1717","Perdita lompocensis"
"1718","Perdita mimula"
"1719","Perdita moldenkei"
"1720","Perdita perlucens"
"1721","Perdita physalidis"
"1722","Perdita punctifera"
"1723","Perdita repens"
"1724","Perdita semilutea"
"1725","Perdita similis"
"1726","Perdita suavis"
"1727","Perdita sulphuripes"
"1728","Perdita xanthodes"
"1729","Calliopsis squamifera"
"1730","Perdita nigrocaerulea"
"1731","Perdita adustiventris"
"1732","Ceratina strenua"
"1733","Exomalopsis hurdi"
"1734","Oreopasites arizonica"
"1735","Nomada arizonica"
"1736","Melissodes paroselae"
"1737","Xylocopa appendiculata"
"1738","Nomada accepta"
"1739","Nomada atrofrontata"
"1740","Nomada orcusella"
"1741","Nomada rubrica"
"1742","Nomada ultimella"
"1743","Bombus brachycephalus"
"1744","Bombus diligens"
"1745","Hylaeus aztecus"
"1746","Halictus parallelus"
"1747","Lasioglossum daggetti"
"1748","Lasioglossum testaceum"
"1749","Lasioglossum macoupinense"
"1750","Lasioglossum foxii"
"1751","Lasioglossum nigrum"
"1752","Lasioglossum quebecense"
"1753","Stelis louisae"
"1754","Hoplitis brachyodonta"
"1755","Osmia mertensiae"
"1756","Megachile inyoensis"
"1757","Megachile seducta"
"1758","Megachile stoddardensis"
"1759","Megachile umatillensis"
"1760","Lasioglossum diatretum"
"1761","Lasioglossum granosum"
"1762","Lasioglossum albipenne"
"1763","Bombus jonellus"
"1764","Megachile texana"
"1765","Megachile apicalis"
"1766","Sphecodes iridipennis"
"1767","Bombus sitkensis"
"1768","Bombus flavifrons"
"1769","Bombus rufocinctus"
"1770","Nomada scita"
"1771","Osmia conjuncta"
"1772","Sphecodes minor"
"1773","Andrena nigra"
"1774","Andrena nigripes"
"1775","Osmia proxima"
"1776","Osmia pumila"
"1777","Bombus norvegicus"
"1778","Bombus perplexus"
"1779","Bombus variabilis"
"1780","Megachile inermis"
"1781","Andrena scutellaris"
"1782","Epeolus bifasciatus"
