tip.label
Panurginus melanocephalus
Eucera lunata
Ashmeadiella chumashae
Andrena gnaphalii
Andrena caspica
Panurginus bilobatus
Dufourea dentipes
Dufourea tuolumne
Macrotera arcuata
Calliopsis scutellaris
Trachusa bequaerti
Centris tiburonensis
Andrena chlorura
Perdita montereyensis
Andrena vulpicolor
Perdita ciliata
Andrena concinnula
Andrena nevadensis
Osmia nigrobarbata
Perdita triangulifera
Perdita exilis
Perdita rhois
Perdita lateralis
Perdita dammersi
Hesperapis pellucida
Hesperapis ilicifoliae
Perdita isocomae
Hoplitis linsdalei
Perdita jucunda
Anthophora phaceliae
Osmia granulosa
Perdita thelypodii
Perdita cowaniae
Perdita flavipes
Andrena subaustralis
Perdita chrysothamni
Calliopsis phaceliae
Perdita leucostoma
Perdita bilobata
Panurginus gracilis
Townsendiella rufiventris
Lasioglossum nigrescens
Osmia cyanopoda
Perdita cleomellae
Perdita covilleae
Chelostoma bernardinum
Hesperapis rufipes
Atoposmia oregona
Ashmeadiella prosopidis
Calliopsis larreae
Ashmeadiella difugita
Megachile xerophila
Perdita innotata
Perdita punctulata
Perdita inornata
Perdita cladothricis
Calliopsis bernardinensis
Perdita trimaculata
Osmia rostrata
Calliopsis trifolii
Melissodes ablusus
Perdita scotti
Osmia calcarata
Perdita gracilis
Brachymelecta larreae
Coelioxys apacheorum
Calliopsis linsleyi
Perdita obliqua
Perdita dentata
Perdita timberlakei
Perdita media
Nomada suavis
Perdita atrata
Andrena subtilis
Perdita ericameriae
Andrena vicinoides
Perdita yosemitensis
Perdita euphorbiae
Andrena bernardina
Andrena blaisdelli
Atoposmia viguierae
Andrena impolita
Dufourea linanthi
Anthophorula torticornis
Calliopsis comptula
Ashmeadiella cockerelli
Perdita eriastri
Xenoglossa mustelina
Dianthidium singulare
Anthophora linsleyi
Neolarra vandykei
Dufourea versatilis
Hesperapis laticeps
Andrena quintiliformis
Andrena semipunctata
Perdita eximia
Perdita interserta
Perdita exclamans
Perdita mohavensis
Osmia hesperos
Andrena plana
Perdita arenaria
Andrena escondida
Megachile gravita
Melecta bohartorum
Perdita utahensis
Calliopsis zonalis
Atoposmia hemizoniae
Perdita polycarpae
Andrena chalybioides
Megachile fucata
Atoposmia robustula
Andrena gibberis
Atoposmia panamintensis
Perdita thermophila
Coelioxys gonaspis
Dufourea afasciata
Andrena lomatii
Panurginus nigrellus
Andrena perimelas
Perdita rivalis
Perdita proxima
Neolarra batrae
Panurginus armaticeps
Anthophorula chionura
Andrena mohavensis
Ashmeadiella foxiella
Nomada crotchii
Megachile maurata
Stelis ashmeadiellae
Anthophora podagra
Perdita flaviceps
Andrena aurihirta
Perdita stephanomeriae
Perdita colei
Nomada pascoensis
Hoplitis tristis
Perdita robustula
Andrena nigroclypeata
Stelis hemirhoda
Anthophora dammersi
Perdita pelargoides
Atoposmia rupestris
Anthophorula palmarum
Melissodes minusculus
Hoplitis xerophila
Ashmeadiella digiticauda
Perdita leucosticta
Perdita viridicollis
Ashmeadiella inyoensis
Perdita swezeyi
Perdita gutierreziae
Anthophorula rufiventris
Dufourea calochorti
Dufourea viridis
Perdita abdominalis
Hoplitis paroselae
Nomada erythraea
Panurginus nigrihirtus
Perdita difficilis
Perdita bohartorum
Andrena levipes
Hoplitis laevibullata
Andrena merriami
Dufourea cuprea
Perdita albovittata
Andrena saccata
Melissodes monoensis
Anthophora coptognatha
Perdita flavicauda
Andrena obscuripostica
Osmia nanula
Ashmeadiella altadenae
Atoposmia nitidivitta
Eucera phaceliae
Coelioxys banksi
Sphecodosoma dicksoni
Perdita sonorensis
Calliopsis deserticola
Hylaeus timberlakei
Townsendiella californica
Andrena layiae
Calliopsis foleyi
Perdita koebelei
Osmia sanctaerosae
Eucera arizonica
Perdita bridwelli
Hoplitis remotula
Dufourea leachi
Hesperapis arida
Dufourea davidsoni
Panurginus ceanothi
Osmia morongana
Perdita fieldi
Dufourea gilia
Melitta californica
Dufourea vanduzeei
Perdita malacothricis
Anthophora signata
Nomada grayi
Osmia potentillae
Hesperapis fulvipes
Colletes paniscus
Colletes ochraceus
Colletes angelicus
Colletes covilleae
Colletes intermixtus
Colletes deserticola
Colletes gypsicolens
Colletes lutzi
Colletes stepheni
Colletes turgiventris
Colletes xerophilus
Andrena coactipostica
Andrena nemophilae
Andrena buckelli
Andrena edwardsi
Calliopsis nigromaculata
Andrena lepidii
Megachile alata
Eucera virgata
Neolarra linsleyi
Andrena californiensis
Andrena cymatilis
Anthophora pueblo
Hoplitis colei
Triepeolus punctoclypeus
Anthophorula nevadensis
Ashmeadiella titusi
Hoplitis palmarum
Anthophora platti
Ashmeadiella leucozona
Atoposmia enceliae
Perdita scopata
Osmia sequoiae
Anthophorula eriogoni
Hoplitis evansi
Nomada pallidelutea
Eucera tricinctella
Osmia lanei
Hoplitis bunocephala
Nomada hirtiventris
Anthophorula parva
Dioxys aurifuscus
Perdita omani
Dianthidium implicatum
Trachusa zebrata
Stelis micheneri
Perdita dasylirii
Triepeolus joliae
Halictus harmonius
Dianthidium heterulkei
Eucera pomona
Atoposmia hypostomalis
Melissodes comatus
Andrena chalybaea
Andrena cruciferarum
Andrena pallidiscopa
Andrena aquila
Andrena hypoleuca
Andrena orthocarpi
Andrena pensilis
Andrena fuscicauda
Andrena subtrita
Andrena trizonata
Andrena vierecki
Colletes algarobiae
Colletes productus
Perdita coldeniae
Perdita maculosa
Perdita foleyi
Perdita fulvicauda
Perdita indioensis
